SecuCode,InfoPublDate,tag
000889,2005-05-01,商贸零售
000889,2017-01-24,通信
000890,2003-01-01,机械
000892,2003-01-01,通信
000892,2017-01-24,传媒
000893,2003-01-01,家电
000893,2009-11-01,农林牧渔
000895,2003-01-01,食品饮料
000897,2003-01-01,钢铁
000897,2005-11-01,房地产
000898,2003-01-01,钢铁
000899,2003-01-01,电力及公用事业
000900,2003-01-01,交通运输
000901,2003-01-01,国防军工
000902,2003-01-01,纺织服装
000902,2014-05-05,基础化工
000902,2014-10-09,基础化工
000903,2003-01-01,汽车
000905,2003-01-01,交通运输
000906,2003-01-01,汽车
000906,2012-05-02,钢铁
000906,2019-07-22,商贸零售
000908,2003-01-01,综合
000908,2015-05-01,医药
000909,2003-01-01,家电
000909,2008-05-01,电子元器件
000909,2014-05-05,综合
000910,2003-01-01,农林牧渔
000910,2017-03-06,轻工制造
000911,2003-01-01,农林牧渔
000912,2003-01-01,基础化工
000913,2003-01-01,汽车
000915,2003-01-01,医药
000915,2010-09-09,医药
000916,2003-01-01,交通运输
000917,2003-01-01,传媒
000918,2003-01-01,食品饮料
000918,2009-11-01,房地产
000919,2003-01-01,医药
000920,2003-01-01,机械
000920,2015-02-01,电力及公用事业
000921,2003-01-01,家电
000922,2003-01-01,电力设备
000923,2003-01-01,机械
000925,2003-01-01,电子元器件
000925,2009-05-01,电力设备
000925,2012-05-02,电子元器件
000925,2013-05-02,综合
000925,2014-05-05,电力及公用事业
000925,2015-02-01,机械
000926,2003-01-01,机械
000926,2007-05-01,房地产
000927,2003-01-01,汽车
000928,2003-01-01,综合
000928,2015-05-01,建筑
000929,2003-01-01,食品饮料
000929,2017-03-06,综合
000929,2018-03-07,食品饮料
000930,2003-01-01,农林牧渔
000931,2003-01-01,医药
000931,2004-05-01,房地产
000931,2018-03-07,综合
000932,2003-01-01,钢铁
000933,2003-01-01,有色金属
000933,2010-05-01,煤炭
000933,2014-05-05,综合
000933,2018-03-07,有色金属
000935,2003-01-01,建材
000936,2003-01-01,基础化工
000937,2003-01-01,煤炭
000938,2003-01-01,计算机
000939,2003-01-01,电力及公用事业
000939,2012-05-02,煤炭
000939,2015-05-01,电力及公用事业
000948,2003-01-01,计算机
000948,2018-03-07,计算机
000949,2003-01-01,基础化工
000950,2003-01-01,基础化工
000950,2018-06-07,医药
000951,2003-01-01,汽车
000952,2003-01-01,医药
000953,2003-01-01,基础化工
000955,2003-01-01,纺织服装
000956,2003-01-01,石油石化
000957,2003-01-01,汽车
000958,2003-01-01,电力及公用事业
000959,2003-01-01,钢铁
000960,2003-01-01,有色金属
000961,2003-01-01,房地产
000962,2003-01-01,有色金属
000963,2003-01-01,医药
000963,2010-09-09,医药
000963,2018-03-07,医药
000965,2003-01-01,建材
000965,2007-05-01,房地产
000966,2003-01-01,电力及公用事业
000967,2003-01-01,电力设备
000967,2016-03-16,电力及公用事业
000968,2003-01-01,煤炭
000968,2017-03-06,石油石化
000969,2003-01-01,有色金属
000970,2003-01-01,电子元器件
000971,2003-01-01,纺织服装
000971,2015-05-01,综合
000971,2018-03-07,通信
000972,2003-01-01,农林牧渔
000973,2003-01-01,基础化工
000975,2003-01-01,电力及公用事业
000975,2006-11-01,商贸零售
000975,2007-11-01,建材
000975,2009-05-01,餐饮旅游
000975,2013-06-02,有色金属
000976,2003-01-01,基础化工
000976,2017-11-17,机械
000977,2003-01-01,计算机
000978,2003-01-01,餐饮旅游
000979,2003-01-01,基础化工
000979,2008-05-01,房地产
000980,2003-01-01,汽车
000981,2003-01-01,综合
000981,2015-05-01,房地产
000982,2003-01-01,纺织服装
000983,2003-01-01,煤炭
000985,2003-01-01,石油石化
000987,2003-01-01,商贸零售
000987,2017-01-24,非银行金融
000988,2003-01-01,计算机
000988,2005-05-01,电子元器件
000989,2003-01-01,医药
000990,2003-01-01,电子元器件
000990,2011-05-05,医药
000990,2018-03-07,基础化工
000993,2003-01-01,电力及公用事业
000995,2003-01-01,食品饮料
000996,2010-09-20,交通运输
000996,2011-05-05,汽车
000996,2019-07-29,非银行金融
000997,2003-01-01,计算机
000998,2003-01-01,农林牧渔
000999,2003-01-01,医药
001696,2003-01-01,汽车
001696,2015-06-01,机械
001872,2003-01-01,交通运输
001896,2003-01-01,电力及公用事业
001965,2018-01-24,交通运输
001979,2015-12-31,房地产
002001,2004-07-09,医药
002002,2003-01-01,房地产
002002,2012-05-02,基础化工
002003,2004-07-09,纺织服装
002004,2004-07-09,医药
002004,2010-09-09,医药
002004,2015-05-01,基础化工
002005,2004-07-09,家电
002005,2014-10-09,电子元器件
002006,2004-07-09,机械
002007,2004-07-09,医药
002008,2004-07-09,电子元器件
002009,2004-07-13,交通运输
002009,2010-05-01,电力设备
002009,2015-05-01,机械
002010,2004-07-13,基础化工
002010,2019-07-22,交通运输
002011,2004-07-19,机械
002012,2004-07-19,轻工制造
002013,2004-07-19,国防军工
002013,2011-05-05,汽车
002013,2012-10-10,国防军工
002013,2018-04-11,国防军工
002014,2004-07-22,轻工制造
002015,2004-07-22,纺织服装
002015,2016-02-24,电力及公用事业
002015,2018-04-11,基础化工
002016,2004-07-22,医药
002016,2008-05-01,房地产
002017,2004-07-27,通信
002018,2004-07-27,基础化工
002018,2018-04-11,综合
002019,2004-07-27,医药
002020,2004-07-29,医药
002021,2004-07-29,机械
002022,2004-08-04,医药
002023,2004-08-04,机械
002024,2004-08-04,商贸零售
002025,2004-08-09,国防军工
002026,2004-08-10,机械
002027,2004-08-18,计算机
002027,2017-01-24,传媒
002028,2004-08-19,电力设备
002029,2004-08-20,纺织服装
002030,2004-08-23,医药
002031,2004-08-30,汽车
002031,2019-07-29,机械
002032,2004-08-31,家电
002033,2004-09-08,餐饮旅游
002034,2004-09-09,纺织服装
002034,2018-01-24,电力及公用事业
002035,2004-09-15,家电
002035,2016-06-20,家电
002036,2004-09-17,纺织服装
002036,2016-02-24,电子元器件
002037,2004-09-22,基础化工
002038,2004-09-23,医药
002039,2005-03-17,电力及公用事业
002040,2005-04-08,交通运输
002041,2005-05-09,农林牧渔
002042,2005-05-18,纺织服装
002043,2005-05-24,建材
002044,2005-06-01,纺织服装
002044,2016-02-24,医药
002045,2005-06-06,电子元器件
002046,2005-06-09,机械
002047,2005-06-14,机械
002047,2016-04-25,建筑
002048,2005-06-17,汽车
002049,2005-06-07,电子元器件
